Data,Otwarcie
2020-03-25,271.12
2020-03-26,263.39
2020-03-27,269.686
2020-03-30,267.299
2020-03-31,270.167
2020-04-01,270.638
2020-04-02,269.303
2020-04-03,275.892
2020-04-06,291.165
2020-04-07,314.079
2020-04-08,281.619
2020-04-09,315.984
2020-04-14,315.984
2020-04-15,328.114
2020-04-16,327.249
2020-04-17,322.957
2020-04-20,323.625
2020-04-21,327.063
2020-04-22,320.757
2020-04-23,327.446
2020-04-24,335.656
2020-04-27,350.831
2020-04-28,351.597
2020-04-29,342.816
2020-04-30,346.243
2020-05-04,335.076
2020-05-05,343.955
2020-05-06,345.104
2020-05-07,343.67
2020-05-08,342.904
2020-05-11,341.765
2020-05-12,344.436
2020-05-13,354.17
2020-05-14,359.993
2020-05-15,353.315
2020-05-18,358.373
2020-05-19,370.492
2020-05-20,364.482
2020-05-21,376.897
2020-05-22,372.309
2020-05-25,377.466
2020-05-26,381.856
2020-05-27,394.27
2020-05-28,371.455
2020-05-29,392.355
2020-06-01,386.629
2020-06-02,378.036
2020-06-03,372.309
2020-06-04,369.069
2020-06-05,376.602
2020-06-08,368.587
2020-06-09,355.122
2020-06-10,370.875
2020-06-12,360.946
2020-06-15,357.99
2020-06-16,360.661
2020-06-17,366.387
2020-06-18,369.825
2020-06-19,356.468
2020-06-22,372.309
2020-06-23,388.83
2020-06-24,391.403
2020-06-25,389.497
2020-06-26,396.175
2020-06-29,376.13
2020-06-30,381.856
2020-07-01,377.564
2020-07-02,386.53
2020-07-03,388.535
2020-07-06,391.216
2020-07-07,386.629
2020-07-08,386.059
2020-07-09,381.09
2020-07-10,364.001
2020-07-13,365.631
2020-07-14,350.26
2020-07-15,341.186
2020-07-16,349.396
2020-07-17,352.647
2020-07-20,355.122
2020-07-21,378.988
2020-07-22,364.001
2020-07-23,367.635
2020-07-24,364.767
2020-07-27,370.404
2020-07-28,379.568
2020-07-29,375.649
2020-07-30,387.582
2020-07-31,381.473
2020-08-03,381.856
2020-08-04,399.996
2020-08-05,397.894
2020-08-06,392.836
2020-08-07,393.308
2020-08-10,407.627
2020-08-11,407.824
2020-08-12,397.707
2020-08-13,399.043
2020-08-14,391.216
2020-08-17,392.07
2020-08-18,389.497
2020-08-19,387.582
2020-08-20,395.223
2020-08-21,394.741
2020-08-24,395.409
2020-08-25,395.223
2020-08-26,390.921
2020-08-27,415.269
2020-08-28,434.646
2020-08-31,425.768
2020-09-01,418.608
2020-09-02,419.187
2020-09-03,423.292
2020-09-04,400.763
2020-09-07,410.593
2020-09-08,420.041
2020-09-09,413.363
2020-09-10,411.732
2020-09-11,410.495
2020-09-14,413.363
2020-09-15,398.277
2020-09-16,387.199
2020-09-17,383.761
2020-09-18,386.629
2020-09-21,383.761
2020-09-22,373.547
2020-09-23,382.72
2020-09-24,385.676
2020-09-25,386.246
